,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
6174,16,"Shepard, Sterling",nyg, bal,18.2,5500.0,Away
6175,16,"Johnson, Diontae",pit,ind,17.7,6700.0,Home
6176,16,"Godwin, Chris",tam, det,16.9,7400.0,Away
6177,16,"Robinson, Allen",chi, jac,15.3,7500.0,Away
6178,16,"Ridley, Calvin",atl, kan,14.8,8700.0,Away
6179,16,"Jackson, DeSean",phi, dal,14.6,4500.0,Away
6180,16,"Chark, D.J.",jac,chi,14.2,5900.0,Home
6181,16,"Cooper, Amari",dal,phi,14.1,6600.0,Home
6182,16,"Pascal, Zach",ind, pit,13.9,5100.0,Away
6183,16,"Berrios, Braxton",nyj,cle,13.5,5000.0,Home
6184,16,"Anderson, Robby",car, was,13.4,6600.0,Away
6185,16,"Shenault Jr., Laviska",jac,chi,13.3,5400.0,Home
6186,16,"Erickson, Alex",cin, hou,11.8,4500.0,Away
6187,16,"Sanders, Emmanuel",nor,min,11.5,6000.0,Home
6188,16,"Jefferson, Justin",min, nor,11.5,7800.0,Away
6189,16,"Brown, Antonio",tam, det,11.5,6700.0,Away
6190,16,"Kirk, Christian",ari,sfo,11.1,5200.0,Home
6191,16,"Kupp, Cooper",lar, sea,10.6,6800.0,Away
6192,16,"Brown, Marquise",bal,nyg,10.5,6200.0,Home
6193,16,"Hamilton, DaeSean",den, lac,10.2,4600.0,Away
6194,16,"Reynolds, Josh",lar, sea,10.0,5100.0,Away
6195,16,"Robinson, Demarcus",kan,atl,9.9,5100.0,Home
6196,16,"Jeudy, Jerry",den, lac,9.1,5200.0,Away
6197,16,"Metcalf, D.K.",sea,lar,8.9,7700.0,Home
6198,16,"Hopkins, DeAndre",ari,sfo,8.8,8700.0,Home
6199,16,"St. Brown, Equanimeous",gnb,ten,8.6,4600.0,Home
6200,16,"Bradley, Ja'Marcus",cle, nyj,8.5,4500.0,Away
6201,16,"Hill, Tyreek",kan,atl,8.5,9400.0,Home
6202,16,"Green, A.J.",cin, hou,8.4,5500.0,Away
6203,16,"Treadwell, Laquon",atl, kan,8.1,4700.0,Away
6204,16,"Coutee, Keke",hou,cin,7.9,6100.0,Home
6205,16,"Sims, Cam",was,car,7.8,5000.0,Home
6206,16,"Hilton, T.Y.",ind, pit,7.5,6400.0,Away
6207,16,"Claypool, Chase",pit,ind,7.4,6000.0,Home
6208,16,"Williams, Mike",lac,den,7.4,5700.0,Home
6209,16,"Bryant, Dez",bal,nyg,7.3,5000.0,Home
6210,16,"Woods, Robert",lar, sea,6.9,7300.0,Away
6211,16,"Grant, Jakeem",mia, lvr,6.8,4900.0,Away
6212,16,"Watkins, Quez",phi, dal,6.7,5000.0,Away
6213,16,"Meyers, Jakobi",nwe,buf,6.5,5500.0,Home
6214,16,"Brown, A.J.",ten, gnb,6.3,8200.0,Away
6215,16,"Amendola, Danny",det,tam,6.2,5200.0,Home
6216,16,"Moore, D.J.",car, was,6.2,7200.0,Away
6217,16,"Mooney, Darnell",chi, jac,6.1,5400.0,Away
6218,16,"Agnew, Jamal",det,tam,6.0,4600.0,Home
6219,16,"Johnson, KeeSean",ari,sfo,6.0,4800.0,Home
6220,16,"Lockett, Tyler",sea,lar,5.9,6900.0,Home
6221,16,"Renfrow, Hunter",lvr,mia,5.9,5300.0,Home
6222,16,"Hardman, Mecole",kan,atl,5.9,5500.0,Home
6223,16,"Guyton, Jalen",lac,den,5.8,5400.0,Home
6224,16,"Fitzgerald, Larry",ari,sfo,5.8,5100.0,Home
6225,16,"Ford, Isaiah",mia, lvr,5.7,4700.0,Away
6226,16,"Patrick, Tim",den, lac,5.4,5500.0,Away
6227,16,"Pittman Jr., Michael",ind, pit,5.3,5300.0,Away
6228,16,"Hollins, Mack",mia, lvr,5.2,4900.0,Away
6229,16,"Sims Jr., Steven",was,car,5.2,4600.0,Home
6230,16,"McKenzie, Isaiah",buf, nwe,5.1,4800.0,Away
6231,16,"Moore, David",sea,lar,5.0,4900.0,Home
6232,16,"Davis, Gabriel",buf, nwe,4.8,5300.0,Away
6233,16,"Reagor, Jalen",phi, dal,4.5,5700.0,Away
6234,16,"Gage, Russell",atl, kan,4.3,5800.0,Away
6235,16,"Pettis, Dante",nyg, bal,4.3,4500.0,Away
6236,16,"Conley, Chris",jac,chi,4.2,5000.0,Home
6237,16,"Johnson, Tyron",lac,den,4.1,5600.0,Home
6238,16,"Callaway, Marquez",nor,min,4.1,4800.0,Home
6239,16,"Cole, Keelan",jac,chi,4.1,5100.0,Home
6240,16,"Johnson, Tyler",tam, det,4.0,4600.0,Away
6241,16,"Ward, Greg",phi, dal,3.7,5500.0,Away
6242,16,"Fulgham, Travis",phi, dal,3.7,5000.0,Away
6243,16,"Aiyuk, Brandon",sfo, ari,3.6,7800.0,Away
6244,16,"Slayton, Darius",nyg, bal,3.6,5000.0,Away
6245,16,"Jones, Marvin",det,tam,3.4,6800.0,Home
6246,16,"Snead, Willie",bal,nyg,3.4,5200.0,Home
6247,16,"Foster, Robert",was,car,3.3,4500.0,Home
6248,16,"Beasley, Cole",buf, nwe,3.2,6100.0,Away
6249,16,"Sanu, Mohamed",det,tam,3.2,5000.0,Home
